DATE,YYMM,MAX,LONG,RF
8521,198305,-0.051043569,-0.052705036,0.0071916667
8552,198306,0.0128181801,0.0154688436,0.007325
8582,198307,-0.026193004,-0.025200846,0.0076833333
8613,198308,0.0437849641,0.0421363955,0.0077166667
8644,198309,0.0120322462,0.0153256769,0.0072583333
8674,198310,0.0166964507,0.0176189283,0.0070916667
8705,198311,0.0344877611,0.0300377925,0.0074
8735,198312,-0.003783348,-0.003159227,0.007475
8766,198401,-0.021021497,-0.023744045,0.0074083333
8797,198402,-0.043654005,-0.0422624,0.0076166667
8826,198403,0.0512141129,0.0499083705,0.0081
8857,198404,0.0265400495,0.0251189722,0.0081
8887,198405,-0.00476094,-0.00543462,0.008125
8918,198406,0.0400790354,0.0393796345,0.0082666667
8948,198407,0.0025449828,0.0044693063,0.0086666667
8979,198408,0.07493233,0.0762935166,0.0088583333
9010,198409,0.0268569376,0.0268852235,0.0085166667
9040,198410,0.0100682779,0.0103702796,0.0075083333
9071,198411,-0.014848258,-0.013970417,0.0070333333
9101,198412,0.0294459696,0.0283008997,0.0065416667
9132,198501,0.0238546735,0.024385194,0.0067083333
9163,198502,0.0248170238,0.0238521684,0.0070833333
9191,198503,0.036583152,0.0345266389,0.0068166667
9222,198504,-0.015518186,-0.014898282,0.0065416667
9252,198505,0.0429900084,0.0413178502,0.00595
9283,198506,0.041754466,0.0389348471,0.0056916667
9313,198507,0.0025467597,0.0045689781,0.0060666667
9344,198508,0.0052618086,0.004461479,0.00595
9375,198509,-0.020922313,-0.019643188,0.0058666667
9405,198510,0.0639475726,0.0648832372,0.0059916667
9436,198511,0.0669334751,0.0665934132,0.0059666667
9466,198512,0.0456996453,0.0484409731,0.005875
9497,198601,-0.020915878,-0.023671971,0.0058083333
9528,198602,0.1252170946,0.120861768,0.00585
9556,198603,0.1130179798,0.1085585504,0.0052833333
9587,198604,0.0596921265,0.058361648,0.0050833333
9617,198605,0.1023655245,0.0989786926,0.00525
9648,198606,0.0715518895,0.0686612249,0.0049666667
9678,198607,0.0080013398,0.0039821921,0.004825
9709,198608,0.1117660069,0.1092919129,0.0043083333
9740,198609,-0.07297467,-0.07025005,0.0043333333
9770,198610,0.0972395323,0.08967468,0.0043333333
9801,198611,0.0826450515,0.0813610896,0.0044916667
9831,198612,0.0572665216,0.0541018675,0.004725
9862,198701,0.1595207048,0.1524678248,0.0046666667
9893,198702,0.0319359374,0.0341911396,0.0045416667
9921,198703,0.0765065658,0.077578064,0.004675
9952,198704,-0.01269439,-0.010831807,0.0046083333
9982,198705,0.0797686642,0.077090823,0.0047333333
10013,198706,0.085902093,0.0847226632,0.004775
10043,198707,0.0270012374,0.0246472478,0.0050583333
10074,198708,0.1090599036,0.1073768214,0.0052083333
10105,198709,0.0110559568,0.0062621873,0.0055083333
10135,198710,-0.122389412,-0.122435011,0.0043916667
10166,198711,-0.057465302,-0.057568594,0.0043416667
10196,198712,0.1045079599,0.1019920038,0.0047333333
10227,198801,0.0473478271,0.0440302517,0.0047
10258,198802,0.0485637808,0.0484528481,0.0046833333
10287,198803,-0.007677308,-0.008993365,0.0047583333
10318,198804,0.0435758725,0.043747454,0.0049833333
10348,198805,0.0468509897,0.0464892977,0.0053583333
10379,198806,0.0261560851,0.032187699,0.0054666667
10409,198807,0.0250726163,0.0239927276,0.0057916667
10440,198808,0.0441081236,0.0399263805,0.0060833333
10471,198809,0.0593296206,0.0603534313,0.0060416667
10501,198810,0.0409192493,0.0420045363,0.0061333333
10532,198811,0.0287487367,0.0278318155,0.006525
10562,198812,0.0832531076,0.0831315216,0.00675
10593,198901,0.0604129671,0.059129778,0.0069916667
10624,198902,0.0223170883,0.0204952578,0.0072583333
10652,198903,0.0527699838,0.0491921399,0.0074166667
10683,198904,0.0639900422,0.0622004603,0.0070083333
10713,198905,0.0947406367,0.0914065425,0.007175
10744,198906,0.0317148342,0.0341589972,0.0066583333
10774,198907,0.1251782181,0.1215201078,0.0065
10805,198908,0.0452818628,0.0459860572,0.006575
10836,198909,0.0071667058,0.0055292657,0.0065916667
10866,198910,0.0760265334,0.0709517356,0.006475
10897,198911,0.0715136569,0.0689897121,0.006325
10927,198912,0.0749447121,0.0732709964,0.0062916667
10958,199001,-0.075835023,-0.07200826,0.00645
10989,199002,0.0161826802,0.0183105227,0.006475
11017,199003,0.0472123048,0.0479225473,0.0065
11048,199004,0.0171147134,0.0182794122,0.0064916667
11078,199005,0.136337256,0.1359363857,0.0064583333
