T,N,C
200308,6224,0.0930778005
200309,6213,0.089422439
200310,6208,0.0833272552
200311,6205,0.0828932546
200312,6185,0.0842957786
200401,6167,0.0805327471
200402,6148,0.0829834046
200403,6135,0.0867620607
200404,6107,0.0937042495
200405,6089,0.1017683345
200406,6071,0.1038439773
200407,6049,0.1055571689
200408,6191,0.1056818431
200409,6195,0.1040471616
200410,6186,0.1035649559
200411,6185,0.102176144
200412,6194,0.1010658909
200501,6195,0.1068069937
200502,6203,0.106093893
200503,6207,0.0998982743
200504,6200,0.1006426207
200505,6194,0.0913158541
200506,6202,0.0881338031
200507,6211,0.0870095081
200508,6191,0.0840978945
200509,6194,0.0834642001
200510,6197,0.0919725057
200511,6196,0.0917285449
200512,6202,0.0918594563
200601,6182,0.0897326797
200602,6188,0.0878374515
200603,6190,0.0868972986
200604,6179,0.0810575377
200605,6177,0.0866658188
200606,6206,0.10266361
200607,6210,0.1098140241
200608,6238,0.1101808839
200609,6243,0.1120992868
200610,6245,0.1049960144
200611,6247,0.1081327271
200612,6248,0.1088513351
200701,6213,0.1096275831
200702,6199,0.1175588296
200703,6198,0.1261595317
200704,6183,0.1274716799
200705,6190,0.1250747964
200706,6200,0.1167979498
200707,6181,0.1168516406
200708,6150,0.1278992223
200709,6159,0.1331996691
200710,6167,0.1362064793
200711,6171,0.1490611395
200712,6157,0.1552305174
200801,6167,0.1540758552
200802,6210,0.1519134158
200803,6213,0.1595019171
200804,6204,0.160308348
200805,6242,0.1579272623
200806,6287,0.1575997175
200807,6283,0.1540932268
200808,6296,0.1502958942
200809,6267,0.1812876438
200810,6293,0.2362781388
200811,6321,0.2525263784
200812,6340,0.25364915
200901,6339,0.2591962661
200902,6330,0.2591845888
200903,6324,0.2669467655
200904,6321,0.2682964516
200905,6320,0.2683846324
200906,6312,0.2674074116
200907,6320,0.2701663792
200908,6306,0.2719008322
200909,6293,0.2690780307
200910,6263,0.2510986983
200911,6262,0.2337743965
200912,6230,0.229274005
201001,6209,0.223913204
201002,6184,0.2236670031
201003,6146,0.1893782016
201004,6135,0.1812417687
201005,6107,0.2041463097
201006,6094,0.2178309345
201007,6065,0.2251821939
201008,6053,0.2318585413
201009,6063,0.2366134542
201010,6071,0.2315702982
201011,6086,0.2320998699
201012,6080,0.2333463446
201101,6095,0.234002544
201102,6101,0.233350294
201103,6106,0.2373078779
201104,6113,0.2379158709
201105,6120,0.2049133414
201106,6130,0.1887526808
201107,6145,0.1848640164
201108,6158,0.2594242289
201109,6178,0.2697308564
201110,6178,0.2824238656
201111,6186,0.294154109
